Species;Size;Habitat;Locomotion;Order;Family
Struthio_camelus;large;Ground;walking;Struthioniformes;Struthionidae
Rhea_americana;large;Ground;walking;Rheiformes;Rheidae
Rhea_pennata;large;Ground;walking;Rheiformes;Rheidae
Casuarius_unappendiculatus;large;Ground;walking;Casuariiformes;Casuariidae
Dromaius_novaehollandiae;large;Tree;walking;Casuariiformes;Dromaiidae
Apteryx_australis;medium;Ground;walking;Apterygiformes;Apterygidae
Nothocercus_bonapartei;medium;Ground;walking;Tinamiformes;Tinamidae
Crypturellus_undulatus;medium;Ground;walking;Tinamiformes;Tinamidae
Crypturellus_parvirostris;medium;Ground;walking;Tinamiformes;Tinamidae
Rhynchotus_rufescens;medium;Ground;walking;Tinamiformes;Tinamidae
Nothoprocta_ornata;medium;Ground;walking;Tinamiformes;Tinamidae
Nothoprocta_perdicaria;medium;Ground;walking;Tinamiformes;Tinamidae
Nothura_maculosa;medium;Ground;walking;Tinamiformes;Tinamidae
Eudromia_formosa;medium;Ground;walking;Tinamiformes;Tinamidae
Ortalis_cinereiceps;medium;Tree;walking;Galliformes;Cracidae
Ortalis_garrula;medium;Tree;walking;Galliformes;Cracidae
Ortalis_leucogastra;medium;Tree;walking;Galliformes;Cracidae
Penelope_superciliaris;medium;Tree;walking;Galliformes;Cracidae
Penelope_obscura;medium;Tree;walking;Galliformes;Cracidae
Penelope_ochrogaster;medium;Tree;walking;Galliformes;Cracidae
Pipile_jacutinga;medium;Tree;walking;Galliformes;Cracidae
Chamaepetes_goudotii;medium;Tree;walking;Galliformes;Cracidae
Mitu_tuberosum;medium;Ground;walking;Galliformes;Cracidae
Pauxi_pauxi;large;Ground;walking;Galliformes;Cracidae
Crax_rubra;large;Ground;walking;Galliformes;Cracidae
Crax_fasciolata;medium;Ground;walking;Galliformes;Cracidae
Megapodius_bernsteinii;medium;Ground;walking;Galliformes;Megapodiidae
Leipoa_ocellata;medium;Ground;walking;Galliformes;Megapodiidae
