Species;Size
Accipiter_francesiae;ok
Nettapus_auritus;ok
Spatula_hottentota;ok
Apus_affinis;ok
Apus_apus;ok
Apus_batesi;ok
Apus_pallidus;ok
Cypsiurus_parvus;ok
Tachymarptis_melba;ok
Campylopterus_hemileucurus;ok
Chrysolampis_mosquitus;ok
Eugenes_fulgens;ok
Lampornis_amethystinus;ok
Orthorhyncus_cristatus;ok
Phaethornis_ruber;ok
Phaethornis_superciliosus;ok
Rhodopis_vesper;ok
Thaumastura_cora;ok
Upupa_epops;ok
Antrostomus_rufus;ok
Caprimulgus_aegyptius;ok
Caprimulgus_europaeus;ok
Caprimulgus_longipennis;ok
Caprimulgus_pectoralis;ok
Caprimulgus_rufigena;ok
Gactornis_enarratus;ok
Hydropsalis_cayennensis;ok
Charadrius_hiaticula;ok
Anarhynchus_pecuarius;ok
Charadrius_semipalmatus;ok
Charadrius_tricollaris;ok
Pluvialis_apricaria;ok
Vanellus_indicus;ok
Vanellus_senegallus;ok
Vanellus_vanellus;ok
Glareola_pratincola;ok
Actophilornis_africanus;ok
Metopidius_indicus;ok
Chlidonias_hybrida;ok
Chroicocephalus_ridibundus;ok
Onychoprion_anaethetus;ok
Pluvianus_aegyptius;ok
Himantopus_himantopus;ok
Actitis_hypoleucos;ok
Arenaria_interpres;ok
Calidris_alba;ok
Calidris_alpina;ok
Calidris_ferruginea;ok
Calidris_maritima;ok
Calidris_pusilla;ok
Calidris_subruficollis;ok
Gallinago_gallinago;ok
Gallinago_macrodactyla;ok
Gallinago_paraguaiae;ok
Scolopax_rusticola;ok
Tringa_flavipes;ok
Tringa_glareola;ok
Tringa_incana;ok
Tringa_solitaria;ok
Thinocorus_rumicivorus;ok
Turnix_nigricollis;ok
Turnix_suscitator;ok
Alectroenas_madagascariensis;ok
Columba_oenas;ok
Geopelia_cuneata;ok
Oena_capensis;ok
Spilopelia_chinensis;ok
Streptopelia_decaocto;ok
Nesoenas_picturatus;ok
Streptopelia_turtur;ok
Treron_bicinctus;ok
Turtur_afer;ok
Turtur_tympanistria;ok
Zenaida_aurita;ok
Actenoides_concretus;ok
Alcedo_atthis;ok
Ceryle_rudis;ok
Chloroceryle_americana;ok
Corythornis_cristatus;ok
Corythornis_madagascariensis;ok
Corythornis_vintsioides;ok
Halcyon_albiventris;ok
Halcyon_chelicuti;ok
Halcyon_malimbica;ok
Ispidina_picta;ok
Pelargopsis_capensis;ok
Todiramphus_sanctus;ok
Atelornis_pittoides;ok
Coracias_abyssinicus;ok
Coracias_cyanogaster;ok
Eurystomus_glaucurus;ok
Eurystomus_orientalis;ok
Merops_albicollis;ok
Merops_apiaster;ok
Merops_orientalis;ok
Merops_persicus;ok
Merops_philippinus;ok
Merops_pusillus;ok
Merops_superciliosus;ok
Chrysococcyx_lucidus;ok
Chrysococcyx_caprius;ok
